Machine name,Operater ID,Time,Work order,Purpose,Test Platform,Fixture ID,Socket number,CoC information_ID, , ,QWLT result, , , , , , , , , , , , , , ,LIV result, , , ,Coarse Tune,,
Station name,worker ID, , , , , , ,Mask,Wafer,PIC,Gain[mA],SOA1[mA],SOA2[mA],Mrror1[mA],Mirror2[mA],L-phase[mA],Phase1[mA],Phase2[mA],Wavelength[nm],Deviation[nm],SMSR[dB],MZM Vbias[V],mPD Bias [V],MPD1[uA],MPD2[uA],Ith to SOA,Ith to Power,TapPD_Power,IS_Power[mW],Missing Channel,Judgement,Failure code
CT-3103A,operator,20240701_095519,X240620002,Pre BI,Left (A),4,1,DO721#2,TM038,C-01-14,120,50,40,10.1,9.9,2.5,0.5,0,1545.6,NaN,34.50893462,-2,-2,-440.976524,-79.953665,58.653,58.862,59.628,14.65865404,90_91_92_93_94_95_96_97,Fail,[SMSR Fail][Coarse Tuning fail]
CT-3103A,operator,20240701_101156,X240620002,Pre BI,Left (A),4,2,DO721#2,TM038,C-03-08,120,50,40,10.2,9.8,2.5,0,0,1544.9,NaN,36.66247178,-2,-2,-316.350517,-55.964618,58.201,57.86,59.163,14.7103663,10_29_30_31_32_33_34_41_42_43_44_45_46_49_67_68_69_70_77_78_79_80_81_82_89_90_91_92_93_94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240701_102356,X240620002,Pre BI,Left (A),4,3,DO721#2,TM038,B-03-06,120,50,40,10,10,5.25,0,0,1545.9,NaN,30.40797044,-2,-2,-632.285839,-65.779983,62.663,62.794,62.371,11.42458249,39_40_41_42_43_44_45_46_47_59_90_91_92_93_94_95_96_97,Fail,[SMSR Fail][Coarse Tuning fail]
CT-3103A,operator,20240701_112159,X240620002,Pre BI,Left (A),4,4,DO721#2,TM038,B-03-07,120,50,40,9.4,10.6,1.75,0,1.5,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,58.607,NaN,14.92117287,,Pass,
CT-3103A,operator,20240701_113602,X240620002,Pre BI,Left (A),4,5,DO721#2,TM038,C-01-15,120,50,40,10.1,9.9,3,0.5,0,1545.2,NaN,38.03164715,-2,-2,-618.992897,-80.173413,57.558,56.143,56.563,14.85558421,90_91_92_93_94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240701_115425,X240620002,Pre BI,Left (A),4,6,DO721#2,TM038,J-02-06,120,50,40,10.3,9.7,1.25,0,2.5,1544.7,NaN,34.81495483,-2,-2,-353.716459,-83.689367,50.285,51.902,52.029,12.66192515,88_89_90_91_92_93_94_95_96_97,Fail,[SMSR Fail][Coarse Tuning fail]
CT-3103A,operator,20240701_120212,X240620002,Pre BI,Left (A),4,7,DO721#2,TM038,C-01-16,120,50,40,10,10,2.5,1,0,1545.7,NaN,37.63853067,-2,-2,-495.532295,-80.576283,56.188,54.492,56.856,15.06352144,90_91_92_93_94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240701_141030,X240620002,Pre BI,Left (A),4,8,DO721#2,TM038,B-03-08,120,50,40,9.7,10.3,1.5,5,0,1545.3,NaN,19.9014218,-2,-2,-689.536624,-63.472638,60.071,59.728,61.306,13.00415394,89_90_91_92_93_94_95_96_97,Fail,[SMSR Fail][Coarse Tuning fail]
CT-3103A,operator,20240701_143152,X240620002,Pre BI,Left (A),4,1,DO721#2,TM038,C-01-14,120,50,40,10.1,9.9,2.5,0.5,0,1545.4,NaN,37.0521414,-2,-2,-456.928072,-82.004641,58.725,58.862,59.999,14.68781785,90_91_92_93_94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240701_143429,X240620002,Pre BI,Left (A),4,2,DO721#2,TM038,C-03-08,120,50,40,10.3,9.7,2.5,0,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,57.875,NaN,14.67976643,,Pass,
CT-3103A,operator,20240701_143713,X240620002,Pre BI,Left (A),4,3,DO721#2,TM038,B-03-06,120,50,40,9.8,10.2,6.25,0,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,61.242,NaN,11.36334934,,Pass,
CT-3103A,operator,20240701_144655,X240620002,Pre BI,Left (A),4,4,DO721#2,TM038,B-03-07,120,50,40,9.4,10.6,1.75,0,1.5,1545.4,NaN,36.15838859,-2,-2,-493.456377,-72.555515,58.868,58.797,60.215,14.93904019,89_90_91_92_93_94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240701_145558,X240620002,Pre BI,Left (A),4,5,DO721#2,TM038,C-01-15,120,50,40,10.1,9.9,3,0.5,0,1545,NaN,39.60942583,-2,-2,-625.912508,-80.576283,57.443,55.715,56.294,15.06207424,90_91_92_93_94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240701_150818,X240620002,Pre BI,Left (A),4,6,DO721#2,TM038,J-02-06,120,50,40,10.3,9.7,1.5,0,2.5,1544.2,NaN,36.58575586,-2,-2,-354.226329,-84.238731,50.47,50.37,51.528,12.67788885,,Pass,
CT-3103A,operator,20240701_151615,X240620002,Pre BI,Left (A),4,7,DO721#2,TM038,C-01-16,120,50,40,10,10,3,1,0,1545.7,NaN,19.52185206,-2,-2,-502.160576,-81.125654,56.366,54.772,57.536,14.99152893,90_91_92_93_94_95_96_97,Fail,[SMSR Fail][Coarse Tuning fail]
CT-3103A,operator,20240701_153425,X240620002,Pre BI,Left (A),4,8,DO721#2,TM038,B-03-08,120,50,40,9.9,10.1,3,0,1.5,1542.4,NaN,39.43732535,-2,-2,-668.996305,-47.577607,44.898,44.943,45.267,21.77232235,55_56_57_58_59_60_61_62_63_64_65_66_67_68_69_70_71_72_73_74_75_76_77_78_79_80_81_82_83_84_85_86_87_88_89_90_91_92_93_94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240702_141928,X240620002,Post BI,Left (A),4,1,DO721#2,TM038,O-04-25,120,50,40,9.3,10.7,1.5,0.5,0,1562.6,NaN,37.08436534,-2,-2,-351.822673,-29.118861,60.584,60.691,60.609,13.16989144,,Pass,
CT-3103A,operator,20240702_142831,X240620002,Post BI,Left (A),4,2,DO721#2,TM038,L-02-25,120,50,40,10.1,9.9,4.5,2,0,1557.2,NaN,37.54331448,-2,-2,-256.951025,-33.623674,61.742,60.244,61.321,13.84200889,,Pass,
CT-3103A,operator,20240702_143650,X240620002,Post BI,Left (A),4,3,DO721#2,TM038,L-04-17,120,50,40,10.1,9.9,3,2.5,0,1557.4,NaN,32.48704749,-2,-2,-323.597895,-46.661997,57.066,57.031,57.447,13.63132199,,Pass,[SMSR Fail]
CT-3103A,operator,20240702_144512,X240620002,Post BI,Left (A),4,4,DO721#2,TM038,L-02-29,120,50,40,10.1,9.9,5.25,0,2,1551.3,NaN,32.78856784,-2,-2,-525.505166,-49.775077,59.004,57.391,58.382,14.45980077,95_96_97,Fail,[SMSR Fail][Coarse Tuning fail]
